842,15%,33%,11%,40%,1%,0%,3.22%,6.66%,0.4827
843,0%,2%,35%,27%,2%,34%,3.94%,9.11%,0.4320
844,21%,23%,8%,19%,26%,3%,4.00%,5.92%,0.6755
845,14%,36%,9%,9%,24%,8%,3.60%,4.94%,0.7277
846,6%,7%,55%,9%,22%,1%,5.66%,11.76%,0.4814
847,1%,33%,43%,11%,7%,5%,4.29%,9.31%,0.4610
848,22%,40%,5%,3%,22%,8%,3.61%,5.89%,0.6117
849,44%,32%,6%,11%,6%,1%,4.14%,9.58%,0.4314
850,10%,14%,39%,1%,3%,33%,4.38%,8.25%,0.5304
851,66%,5%,1%,7%,8%,13%,4.94%,13.67%,0.3613
852,7%,4%,45%,12%,23%,9%,5.26%,10.14%,0.5190
853,54%,21%,7%,7%,4%,7%,4.56%,11.61%,0.3927
854,48%,21%,0%,1%,2%,28%,3.88%,10.29%,0.3771
855,34%,27%,8%,1%,23%,7%,4.32%,8.15%,0.5301
856,4%,13%,54%,16%,12%,1%,5.24%,11.86%,0.4413
857,34%,24%,1%,6%,0%,35%,3.32%,7.27%,0.4570
858,52%,0%,17%,12%,14%,5%,5.41%,11.73%,0.4613
859,28%,17%,5%,28%,17%,5%,3.94%,6.55%,0.6007
860,15%,10%,34%,11%,25%,5%,5.06%,8.64%,0.5849
861,5%,0%,66%,19%,6%,4%,5.78%,14.41%,0.4008
862,7%,1%,18%,45%,10%,19%,3.70%,7.99%,0.4629
863,1%,72%,3%,1%,4%,19%,1.96%,3.69%,0.5292
864,15%,50%,13%,2%,13%,7%,3.40%,5.37%,0.6336
865,37%,16%,9%,12%,11%,15%,4.24%,8.22%,0.5159
866,13%,29%,15%,4%,16%,23%,3.63%,4.96%,0.7306
867,31%,0%,9%,37%,15%,8%,4.33%,7.68%,0.5628
868,12%,14%,26%,34%,7%,7%,4.09%,8.36%,0.4893
869,2%,3%,30%,36%,29%,0%,4.62%,9.52%,0.4845
870,36%,22%,8%,3%,15%,16%,4.20%,8.23%,0.5096
871,1%,0%,60%,18%,21%,0%,5.76%,13.24%,0.4351
872,42%,27%,8%,11%,2%,10%,4.06%,9.22%,0.4402
873,47%,17%,3%,6%,2%,25%,4.04%,9.94%,0.4061
874,11%,7%,14%,35%,16%,17%,3.76%,6.47%,0.5812
875,69%,15%,3%,7%,6%,0%,5.05%,14.47%,0.3489
876,55%,4%,6%,29%,4%,2%,4.75%,11.25%,0.4218
877,27%,6%,26%,10%,1%,30%,4.43%,8.33%,0.5318
878,0%,0%,6%,71%,1%,22%,2.69%,9.56%,0.2808
879,69%,3%,6%,2%,2%,18%,5.12%,14.64%,0.3493
880,35%,23%,2%,6%,24%,10%,4.14%,7.86%,0.5258
881,0%,6%,10%,71%,3%,10%,2.92%,10.05%,0.2901
882,65%,29%,1%,4%,0%,1%,4.53%,13.85%,0.3268
883,24%,13%,17%,42%,3%,1%,4.05%,8.30%,0.4871
884,51%,6%,8%,1%,19%,15%,4.99%,11.21%,0.4446
885,13%,3%,14%,41%,26%,3%,4.19%,7.41%,0.5654
886,17%,20%,23%,13%,24%,3%,4.52%,7.13%,0.6334
887,4%,28%,20%,11%,26%,11%,3.86%,5.65%,0.6820
888,2%,0%,3%,66%,1%,28%,2.59%,8.45%,0.3064
889,6%,40%,1%,24%,3%,26%,2.30%,3.55%,0.6485
890,14%,29%,18%,8%,29%,2%,4.23%,6.14%,0.6879
891,11%,35%,25%,26%,2%,1%,3.71%,7.56%,0.4901
892,81%,17%,0%,0%,0%,2%,5.16%,17.19%,0.2999
893,8%,10%,61%,20%,1%,0%,5.45%,13.60%,0.4009
894,15%,39%,7%,0%,28%,11%,3.60%,5.16%,0.6969
895,15%,8%,14%,50%,9%,4%,3.78%,7.99%,0.4732
896,57%,14%,5%,2%,18%,4%,5.01%,12.34%,0.4060
897,9%,0%,37%,47%,2%,5%,4.51%,11.48%,0.3926
898,3%,0%,18%,43%,12%,24%,3.60%,7.85%,0.4577
899,1%,47%,3%,45%,3%,1%,2.27%,6.17%,0.3677
900,30%,49%,0%,0%,3%,18%,3.05%,7.18%,0.4241
901,13%,33%,15%,18%,3%,18%,3.29%,5.41%,0.6073
902,6%,53%,7%,21%,7%,6%,2.64%,4.41%,0.5985
903,30%,10%,7%,22%,12%,19%,3.97%,6.74%,0.5888
904,14%,18%,0%,50%,3%,15%,2.81%,5.94%,0.4732
905,28%,11%,16%,17%,6%,22%,4.13%,7.30%,0.5654
906,13%,8%,34%,31%,2%,12%,4.40%,9.56%,0.4595
907,4%,2%,31%,24%,18%,21%,4.36%,8.28%,0.5263
908,13%,3%,1%,48%,26%,9%,3.58%,6.31%,0.5669
909,30%,27%,25%,18%,0%,0%,4.41%,9.06%,0.4862
910,5%,0%,53%,4%,10%,28%,5.17%,10.83%,0.4773
911,4%,29%,7%,42%,12%,6%,2.94%,6.12%,0.4795
